"order_num","title","issue","phase","event","year","slug","url","total_pages","scrape_status","scraped_at","bookmark"
"1","House of X","1","House of X / Powers of X","","2019","House-of-X","https://readcomiconline.li/Comic/House-of-X/Issue-1?quality=hq","48","done","2026-03-09T19:19:22.272362","0"
"2","Powers of X","1","House of X / Powers of X","","2019","Powers-of-X","https://readcomiconline.li/Comic/Powers-of-X/Issue-1?quality=hq","46","done","2026-03-09T19:19:23.002994","0"
"3","House of X","2","House of X / Powers of X","","2019","House-of-X","https://readcomiconline.li/Comic/House-of-X/Issue-2?quality=hq","34","done","2026-03-09T19:19:20.615532","0"
"4","Powers of X","2","House of X / Powers of X","","2019","Powers-of-X","https://readcomiconline.li/Comic/Powers-of-X/Issue-2?quality=hq","33","done","2026-03-09T19:19:17.165387","0"
"5","Powers of X","3","House of X / Powers of X","","2019","Powers-of-X","https://readcomiconline.li/Comic/Powers-of-X/Issue-3?quality=hq","31","done","2026-03-09T19:19:38.688493","0"
"6","House of X","3","House of X / Powers of X","","2019","House-of-X","https://readcomiconline.li/Comic/House-of-X/Issue-3?quality=hq","34","done","2026-03-09T19:19:39.201711","0"
"7","House of X","4","House of X / Powers of X","","2019","House-of-X","https://readcomiconline.li/Comic/House-of-X/Issue-4?quality=hq","33","done","2026-03-09T19:19:44.650525","0"
"8","Powers of X","4","House of X / Powers of X","","2019","Powers-of-X","https://readcomiconline.li/Comic/Powers-of-X/Issue-4?quality=hq","32","done","2026-03-09T19:19:43.981512","0"
"9","House of X","5","House of X / Powers of X","","2019","House-of-X","https://readcomiconline.li/Comic/House-of-X/Issue-5?quality=hq","35","done","2026-03-09T19:20:00.643000","0"
"10","Powers of X","5","House of X / Powers of X","","2019","Powers-of-X","https://readcomiconline.li/Comic/Powers-of-X/Issue-5?quality=hq","34","done","2026-03-09T19:20:00.238543","0"
"11","House of X","6","House of X / Powers of X","","2019","House-of-X","https://readcomiconline.li/Comic/House-of-X/Issue-6?quality=hq","33","done","2026-03-09T19:20:05.412903","0"
"12","Powers of X","6","House of X / Powers of X","","2019","Powers-of-X","https://readcomiconline.li/Comic/Powers-of-X/Issue-6?quality=hq","51","done","2026-03-09T19:20:13.522099","0"
"13","X-Men","1","Dawn of X","","2019","X-Men-2019","https://readcomiconline.li/Comic/X-Men-2019/Issue-1?quality=hq","40","done","2026-03-09T19:20:21.153500","0"
"14","Marauders","1","Dawn of X","","2019","Marauders","https://readcomiconline.li/Comic/Marauders/Issue-1?quality=hq","38","done","2026-03-09T20:00:39.479998","0"
"15","Excalibur","1","Dawn of X","","2019","Excalibur-2019","https://readcomiconline.li/Comic/Excalibur-2019/Issue-1?quality=hq","39","done","2026-03-09T19:20:30.211879","0"
"16","New Mutants","1","Dawn of X","","2019","New-Mutants-2019","https://readcomiconline.li/Comic/New-Mutants-2019/Issue-1?quality=hq","38","done","2026-03-09T19:20:34.556731","0"
"17","X-Force","1","Dawn of X","","2019","X-Force-2019-2","https://readcomiconline.li/Comic/X-Force-2019-2/Issue-1?quality=hq","37","done","2026-03-09T22:37:46.209560","0"
"18","Fallen Angels","1","Dawn of X","","2019","Fallen-Angels","https://readcomiconline.li/Comic/Fallen-Angels/Issue-1?quality=hq","23","done","2026-03-09T20:00:39.434985","0"
"19","Marauders","2","Dawn of X","","2020","Marauders","https://readcomiconline.li/Comic/Marauders/Issue-2?quality=hq","28","done","2026-03-09T20:00:39.761133","0"
"20","Marauders","3","Dawn of X","","2020","Marauders","https://readcomiconline.li/Comic/Marauders/Issue-3?quality=hq","28","done","2026-03-09T20:00:39.459243","0"
"21","Excalibur","2","Dawn of X","","2020","Excalibur-2019","https://readcomiconline.li/Comic/Excalibur-2019/Issue-2?quality=hq","27","done","2026-03-09T19:20:57.490808","0"
"22","Excalibur","3","Dawn of X","","2020","Excalibur-2019","https://readcomiconline.li/Comic/Excalibur-2019/Issue-3?quality=hq","28","done","2026-03-09T19:20:59.464902","0"
"23","X-Men","2","Dawn of X","","2020","X-Men-2019","https://readcomiconline.li/Comic/X-Men-2019/Issue-2?quality=hq","27","done","2026-03-09T19:21:07.378676","0"
"24","X-Men","3","Dawn of X","","2020","X-Men-2019","https://readcomiconline.li/Comic/X-Men-2019/Issue-3?quality=hq","28","done","2026-03-09T19:21:12.517006","0"
"25","New Mutants","2","Dawn of X","","2020","New-Mutants-2019","https://readcomiconline.li/Comic/New-Mutants-2019/Issue-2?quality=hq","27","done","2026-03-09T19:21:14.870347","0"
"26","New Mutants","3","Dawn of X","","2020","New-Mutants-2019","https://readcomiconline.li/Comic/New-Mutants-2019/Issue-3?quality=hq","28","done","2026-03-09T19:21:18.058487","0"
"27","New Mutants","4","Dawn of X","","2020","New-Mutants-2019","https://readcomiconline.li/Comic/New-Mutants-2019/Issue-4?quality=hq","28","done","2026-03-09T19:21:25.038195","0"
"28","X-Force","2","Dawn of X","","2020","X-Force-2019-2","https://readcomiconline.li/Comic/X-Force-2019-2/Issue-2?quality=hq","28","done","2026-03-09T22:37:39.323191","0"
"29","X-Force","3","Dawn of X","","2020","X-Force-2019-2","https://readcomiconline.li/Comic/X-Force-2019-2/Issue-3?quality=hq","28","done","2026-03-09T22:37:31.196650","0"
"30","Fallen Angels","2","Dawn of X","","2020","Fallen-Angels","https://readcomiconline.li/Comic/Fallen-Angels/Issue-2?quality=hq","23","done","2026-03-09T20:00:39.433981","0"
